格式为:mc电视名|dz直播地址
@mc=陕西卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/shanxi1stv/astv.m3u8|
@mc=内蒙古卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/neimenggustv/astv.m3u8|
@mc=新疆卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/xinjiangstv/astv.m3u8|
@mc=云南卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/yunnanstv/astv.m3u8|
@mc=山东教育|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/shandongjy/astv.m3u8|
@mc=卡酷少儿|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/kakukaton/astv.m3u8|
@mc=优漫卡通|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/youmankaton/astv.m3u8|
@mc=YST完美游戏|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/wmyx/astv.m3u8|
CN3- 183.207.249.8

@mc=CCTV-1HD|@dz=http://183.207.249.8/PLTV/3/224/3221225680/index.m3u8|
@mc=CCTV-3HD|@dz=http://183.207.249.8/PLTV/3/224/3221225588/index.m3u8|
@mc=CCTV-5+HD|@dz=http://183.207.249.8/PLTV/3/224/3221225604/index.m3u8|
@mc=CCTV-6HD|@dz=http://183.207.249.8/PLTV/3/224/3221225548/index.m3u8|
@mc=CCTV-8HD|@dz=http://183.207.249.8/PLTV/3/224/3221225542/index.m3u8|
@mc=CCTV-10科教|@dz=http://183.207.249.8/PLTV/3/224/3221225550/index.m3u8|
@mc=CCTV-11戏曲|@dz=http://183.207.249.8/PLTV/3/224/3221225552/index.m3u8|
@mc=CCTV-12社会与法|@dz=http://183.207.249.8/PLTV/3/224/3221225556/index.m3u8|
@mc=CCTV-13新闻|@dz=http://183.207.249.8/PLTV/3/224/3221225560/index.m3u8|
@mc=CCTV-15音乐|@dz=http://183.207.249.8/PLTV/3/224/3221225568/index.m3u8|
@mc=CCTV第一剧场|@dz=http://183.207.249.8/PLTV/3/224/3221225569/index.m3u8|
@mc=CCTV-9记录英文|@dz=http://183.207.249.8/PLTV/3/224/3221225572/index.m3u8|
@mc=湖南卫视高清|@dz=http://183.207.249.8/PLTV/3/224/3221225521/index.m3u8|
@mc=广东卫视高清|@dz=http://183.207.249.8/PLTV/3/224/3221225592/index.m3u8|
@mc=山东卫视高清|@dz=http://183.207.249.8/PLTV/3/224/3221225596/index.m3u8|
@mc=天津卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225562/index.m3u8|
@mc=辽宁卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225566/index.m3u8|
@mc=西藏卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225579/index.m3u8|
@mc=东方卫视|@dz=http://183.207.249.8/PLTV/3/224/3221225558/index.m3u8|
